Accession	H3K4	H3K36	H2AK7	H2AZK14	H2BK11	H2BK16	H3Nterm	H3K9	H3K14	H3K18	H3K23	H3K27	H3K56	H4Nterm	H4K8	H4K12	H4K16	H2A	H2B	H3	H4	H2AZ
YAL034C 	-0.141586982	0.1384813480		0.7560544430			0.4151988580						-0.279932065	0.5751218310				0.4903591990	0.1934462610	0.1019676700	0.1188818900	0.5901512900
YAL034W-A 	-0.359433934	-0.137590081	0.9173703800	1.3360705190	0.5291540900	0.5714184770	0.1367587160	0.0938536850	0.2486846340	0.9956084270	0.4928670770	0.4576507950	0.8241577090	0.3659310500	0.4072317750	0.4011843340	0.1948841910	0.0339081240	0.1742546860	0.0619676700	-0.036689538	1.4665119879
YAL035C-A 	-0.137258897			-0.009844694			-0.583146110						-0.042753073	-0.317906399					-0.139871335	0.1144676700	-0.044689538	
YAL035W 	-0.359433934	-0.137590081	0.9173703800	1.3360705190	0.5291540900	0.5714184770	0.1367587160	0.0938536850	0.2486846340	0.9956084270	0.4928670770	0.4576507950	0.8241577090	0.3659310500	0.4072317750	0.4011843340	0.1948841910	0.0339081240	0.1742546860	0.0619676700	-0.036689538	1.4665119879
YAL036C 	-0.359433934	-0.137590081	0.9173703800	1.3360705190	0.5291540900	0.5714184770	0.1367587160	0.0938536850	0.2486846340	0.9956084270	0.4928670770	0.4576507950	0.8241577090	0.3659310500	0.4072317750	0.4011843340	0.1948841910	0.0339081240	0.1742546860	0.0619676700	-0.036689538	1.4665119879
YAL037W 	-0.199294784	0.1717670620		-0.209331843			0.0516397080						0.2391365390	-0.231344697				0.3186177360	0.0135251780	-0.043032330	-0.026260967	
YAL038W 	-0.741748119	-0.241107938					-0.353757598							-0.832948529				-2.393665871	-1.102043139	-0.249782330	-0.473546681	-3.737254955
YAL039C 	-0.686925708	-0.511316271		-0.558306514			0.0458689280						0.1534489940	-0.365515336				-0.030280186	0.0102167940	-0.043032330	0.0100247480	-0.784557247
YAL040C 	0.2335137280	-0.129732938		-0.042601199			0.2016799920							0.2231042410				-0.756577488	-0.368952793	-0.423032330	-0.832118110	-1.875536123
YAL041W 	-0.095420741	-0.005332938		0.6659469740			-0.001740008							0.4625916180				0.1184178830	0.0588199590	0.0439676700	-0.072689538	1.3602232649
YAL042W 	-0.379631664	-0.073732938					-0.216701569						0.4764622290	-0.075533632					-0.006502066	-0.018032330	-0.116975252	
YAL043C 	-0.379631664	-0.073732938					-0.216701569						0.4764622290	-0.075533632					-0.006502066	-0.018032330	-0.116975252	
YAL043C-A 	-0.095420741	-0.005332938		0.6659469740			-0.001740008							0.4625916180				0.1184178830	0.0588199590	0.0439676700	-0.072689538	1.3602232649
YAL044C 	-0.747518900	0.4426242050	0.3156745880	0.1417763700	0.3922736820	0.2393123480	0.2824709150	0.1697710680	-0.125916989	-0.477824883	-0.314963374	-0.194082313	-0.071786217	0.3038951630	0.3686665490	-0.117605462	0.0224400710		0.0881451130	-0.013032330	-0.026975252	-1.195562079
YAL045C 		-0.062518652											0.0676675560						-0.029156595	0.1969676700	0.1530247480	
YAL046C 	0.2147586930	-0.322066271		1.3624745880			0.5161875110						0.3400548110	0.5159713339					0.2665758290	0.2469676700	0.1409771280	-1.946512328
YAL047C 	0.2450552890	0.0445170620	0.6922182700	1.2848481370	0.4145025700	0.4086435640	0.6344885050	0.6721228790	0.6600392210	0.5156492290	1.3405670260	0.4096255170	-0.047392016	0.4510500580	0.6932959970	0.7162832200	0.7176727840	-0.316977551	0.1243088750	0.0669676700	0.1618818900	-2.324682760
YAL048C 	-0.327694643	0.2002670620	-0.090391429	0.7201131420	0.1114759110	0.0403364880	0.0891497790	0.3288577230	-0.003232105	-0.478277328	0.2626454940	-0.270687080	-0.633951827	0.1596256590	-0.027529665	-0.019693450	-0.075888905		-0.000382324	0.0319676700	-0.061689538	
YAL049C 		0.4611956330											0.0154059660						0.1076542650	0.1494676700	-0.037118110	0.1587153000
YAL051W 	-0.463307977	-0.039670438		-0.157411867			-0.375398024						-0.380655633	-0.323677179					0.0303747760	-0.103032330	-0.091832395	-0.120033612
YAL053W 	-0.643644857	-0.802607938	-0.648217224	-0.876930035	-0.668889373	-0.653820415	-0.519667528	-0.440316566	-0.434155977	-0.508533681	-0.265884494	-0.580728974	-0.044122585	-0.626643138	-0.329372821	-0.448043816	-0.375147823	-1.053639103	-0.484300160	-0.468032330	-0.260832395	0.3276157890
YAL054C 	-0.643644857	-0.802607938	-0.648217224	-0.876930035	-0.668889373	-0.653820415	-0.519667528	-0.440316566	-0.434155977	-0.508533681	-0.265884494	-0.580728974	-0.044122585	-0.626643138	-0.329372821	-0.448043816	-0.375147823	-1.053639103	-0.484300160	-0.468032330	-0.260832395	0.3276157890
YAL055W 	-0.088207266	0.0431956330	-0.150920200	0.0647802840	0.1316808530	0.0973605260	-0.128697172	-0.311462545	-0.709427115	-0.706786473	-0.309889320	-0.506687579	-0.387551649	0.0788347370	-0.334380346	-0.569030159	-0.035399146	0.1020266480	0.0060238760	0.0644676700	-0.019689538	0.1329436430
YAL056W 	-0.559968544	0.0301003950	-0.272937137		-0.038295232	0.0186038130	0.1064621200	-0.137503130	0.1904248260	-0.408082064	-0.162585506	-0.322542520	0.0859717300	-0.169308810	-0.172585572	-0.308074603	-0.086279607	0.1754554900	-0.065263393	0.0869676700	0.0268818900	-0.264476105
YAL058C-A 	-0.559968544	0.0301003950	-0.272937137		-0.038295232	0.0186038130	0.1064621200	-0.137503130	0.1904248260	-0.408082064	-0.162585506	-0.322542520	0.0859717300	-0.169308810	-0.172585572	-0.308074603	-0.086279607	0.1754554900	-0.065263393	0.0869676700	0.0268818900	-0.264476105
YAL058W 	0.7932794040	0.0456670620	0.7245105560	0.4909487770	0.4908778240	0.4595808790	0.6142907740	-0.066305891	0.3076070870	0.2115048010	0.4362343340	0.4877946170	-0.110510076	0.8073957330	0.5574143100	0.1751099660	0.7056514560	0.0278180300	0.0913572560	0.1594676700	0.1570247480	0.7839750420
YAL059W 	0.0329791170	0.2904813480		0.5679137420			0.1006913400						0.0314408560	0.2216615460				0.4546444260	-0.168696637	0.1119676700	-0.019689538	-0.598312484
YAL060W 	0.5537920270						1.0615262370							1.0353415490				0.0290027200	0.1917742170	0.3756343370	0.0510247480	-0.608693151
YAL061W 	0.3748978420	-0.601232938		0.2042189770			0.7340344630						0.3820237920	0.7453598460				-0.057370173	0.1413713140	-0.043032330	0.0173104620	0.1778163480
