Accession	H3K4	H3K36	H2AK7	H2AZK14	H2BK11	H2BK16	H3Nterm	H3K9	H3K14	H3K18	H3K23	H3K27	H3K56	H4Nterm	H4K8	H4K12	H4K16	H2A	H2B	H3	H4	H2AZ
YDR273W 	-0.168998188	0.4067045620		-0.389012459			-0.337887953						0.0549596180	-0.426108527				0.2068851980	0.0982046590	0.1262176700	0.0634533190	-0.201338916
YDR274C 	0.4340483390	0.0800527760					0.0516397080						-0.112374534	-0.051007817					-0.349445885	-0.313782330	-0.200546681	-1.171305233
YDR275W 	0.4340483390	0.0800527760					0.0516397080						-0.112374534	-0.051007817					-0.349445885	-0.313782330	-0.200546681	-1.171305233
YDR276C 	-0.073780316	-0.164420438		-0.484427040			0.2896843900						-0.050440646	-0.143340299				-0.706153025	-0.315464566	-0.133032330	-0.198118110	-1.484833024
YDR277C 	-0.122831947	-0.250732938		-1.178678029			-0.330674478						0.2296480560	-0.183735760				-0.282329218	0.0260613990	-0.051032330	-0.091975252	-1.106461705
YDR278C 		-0.360899605	-0.142591323	-0.483393670	-0.027170164	-0.271980185		0.2576604390	0.3237467430	-0.283598328	-0.284430373	0.3362858830			0.1056413220	0.2659033590	0.0919506700	0.0204831530	-0.025082893			
YDR279W 		-0.496357938	0.2405006560	-0.009007855	-0.211724728	-0.155519229		0.0953920650	0.0945702800	-0.402162057	0.0652192840	0.2360894030	0.1128667340		0.0840198460	0.4928776720	-0.240038751	0.5802470150	0.2077543480			0.2948334150
YDR280W 	0.1224262100	0.3078920620		-0.141559984			-0.359528378						-0.381252669	-0.101502143				-0.035920233	-0.157326713	0.0797176700	-0.098689538	1.0259124500
YDR281C 	-0.294512657	-0.158420438		-0.510692225			0.0343273680						0.1289699810	-0.176522285				0.0084253090	0.0615418290	-0.145782330	0.0717390330	0.2647979440
YDR282C 	0.1022284790	0.2903920620	0.4121837940	0.2883822660	0.2341048380	0.2750891930	0.3531629720	0.4126364600	0.2602002210	-0.023521747	0.8187481300	-0.036742434	0.1727797040	0.4409511920	0.4047847600	0.0228251370	0.3931637920	0.4404039520	0.0441071710	0.1417176700	0.1150247480	0.6401483280
YDR283C 	0.2537114590	-0.055295438		0.0680462820			0.1973519070						-0.042549620	0.3601602700				0.2272360470	-0.158737137	-0.056782330	-0.015975252	1.0290937410
YDR284C 	0.8264613900	-0.516304367	0.2556196030	-0.424594063	-0.141674032	0.1706427650	0.2637158790	-0.168044335	0.0582035680	-0.187283542	0.0338811090	0.0550994900	-0.131207835	0.7294902000	0.1483813510	-0.133957330	-0.065143147		0.0745611410	-0.059782330	0.0385961760	-0.097379045
YDR285W 	0.8264613900	-0.516304367	0.2556196030	-0.424594063	-0.141674032	0.1706427650	0.2637158790	-0.168044335	0.0582035680	-0.187283542	0.0338811090	0.0550994900	-0.131207835	0.7294902000	0.1483813510	-0.133957330	-0.065143147		0.0745611410	-0.059782330	0.0385961760	-0.097379045
YDR286C 	0.8610860710	-0.177161509	0.0878870670	0.5249240520	0.4453095290	0.3104398760	0.3791314820	0.1240003170	0.3679519060	-0.408692035	0.2048280580	0.1651980180	0.0280338480	0.6068611220	0.4025658410	0.3094939230	0.2163947450	0.1871053690	0.1493754350	0.3174676700	0.2504771280	1.0910650850
YDR287W 	0.8610860710	-0.177161509	0.0878870670	0.5249240520	0.4453095290	0.3104398760	0.3791314820	0.1240003170	0.3679519060	-0.408692035	0.2048280580	0.1651980180	0.0280338480	0.6068611220	0.4025658410	0.3094939230	0.2163947450	0.1871053690	0.1493754350	0.3174676700	0.2504771280	1.0910650850
YDR288W 	0.1512801110	0.2052670620	0.2284205160	0.4964000390	0.3665847990	-0.008042254	0.2233204180	0.3007022470	0.3581696590	0.2128761480	0.4361462650	0.1599612800	-0.198568826	0.4900028240	0.6911521500	0.7025055000	0.1245378860	0.2885346930	0.1052393840	0.1254676700	0.1097390330	0.6569998940
YDR289C 	-0.678269538	0.9283384910		-0.574494317			-0.323461002							-0.596346542					-0.228502488	0.0764676700	-0.045889538	
YDR290W 	-0.239690245	0.7491837290		-0.237272361			-0.248440860						-0.500040500	-0.430436612				0.2452074740	0.0562992930	0.1734676700	0.1278818900	-1.869803316
YDR291W 	-0.239690245	0.7491837290		-0.237272361			-0.248440860						-0.500040500	-0.430436612				0.2452074740	0.0562992930	0.1734676700	0.1278818900	-1.869803316
YDR292C 	-0.101191521	0.8001242050		-0.417536037			-0.111384831						-0.367308538	-0.104387533					0.0275735730	0.1567176700	-0.069689538	-0.745214061
YDR293C 	-0.003088259	0.3621420620					-0.062333200							0.0543089210					-0.007062194	-0.055782330	-0.110189538	
YDR294C 	-0.466193367	0.2806003950		0.1017755370			0.0804936090						-0.144435651	-0.045237036				0.0616294090	0.1293004530	-0.021782330	0.1075961760	0.1664989040
YDR295C 	0.4946415310	-0.200804367	0.5001511730	0.1465145820	0.2737035420	0.2850561120	0.2925697800	-0.267879943	0.3559360590	0.1631225180	0.5429342570	0.3126518220	0.0103830030	0.4164253770	0.1152653100	0.0056590950	0.1946206070	0.1844090000	-0.052393334	-0.296782330	-0.291118110	0.2207054800
YDR296W 	0.4946415310	-0.200804367	0.5001511730	0.1465145820	0.2737035420	0.2850561120	0.2925697800	-0.267879943	0.3559360590	0.1631225180	0.5429342570	0.3126518220	0.0103830030	0.4164253770	0.1152653100	0.0056590950	0.1946206070	0.1844090000	-0.052393334	-0.296782330	-0.291118110	0.2207054800
YDR297W 	0.1354104650	-0.297018652		-0.318042580			-0.350872208						0.1638560530	-0.079861717				-0.395380251	-0.181298253	-0.392032330	-0.417689538	-0.738534378
YDR298C 	0.1455093310	-0.008232938		0.6700025240			0.3661472270						0.1705406740	0.3659310500				0.2787157380	0.0953233290	-0.729782330	-0.650289538	0.7118845170
YDR299W 	0.1455093310	-0.008232938		0.6700025240			0.3661472270						0.1705406740	0.3659310500				0.2787157380	0.0953233290	-0.729782330	-0.650289538	0.7118845170
YDR300C 	0.1700351460	-0.252732938	0.3854873740	0.3253874840	0.6272457160	0.4996079080	0.0040307720	-0.072411202	0.3741315550	0.2177940650	0.5333893570	0.1467736950	-0.401301788	0.3774726110	0.2154603410	0.1612481600	0.1695479100	0.0645837470	0.0258722650	-0.186532330	0.0833104620	1.4181192760
YDR301W 	0.1700351460	-0.252732938	0.3854873740	0.3253874840	0.6272457160	0.4996079080	0.0040307720	-0.072411202	0.3741315550	0.2177940650	0.5333893570	0.1467736950	-0.401301788	0.3774726110	0.2154603410	0.1612481600	0.1695479100	0.0645837470	0.0258722650	-0.186532330	0.0833104620	1.4181192760
YDR302W 	-0.653743722	0.3646242050		-0.108687972			-0.138796037						-0.130684238	-0.105830228					-0.149430254	-0.078782330	-0.004689538	0.6004121150
YDR303C 	0.3547001120	0.2166956330	0.9306020170	0.9509291790	0.4119868000	0.6920919480	0.3170955960	0.3830546550	0.8825568350	0.3927485950	0.5284758030	0.0590005850	0.6902729090	0.6285015480	0.7123968910	0.7805072120	0.6036891610	0.3141133330	0.1247405870	0.0167176700	0.1680247480	1.0216603520
YDR304C 	0.3604708920	-0.224732938	1.0778788530	-0.035021399	1.1626752860	1.2582957969	0.6114053840	0.5514243410	0.8339466030	0.8852218230	0.8805001430	0.6657077230	-0.185977366	0.6674543140	0.8504325970	0.8022405600	0.4370590430	0.3102157250	0.0698592650	0.0314676700	0.1585961760	0.0207539070
YDR305C 	0.2537114590	0.3460795620		0.0698896880			0.2175496380						-0.226403177	0.3774726110					0.0594960040	-0.016782330	0.1438818900	
YDR306C 	-0.026171379	-0.333982938	0.1698517430		0.3409067860	0.0651813270	0.4743493550	0.1868618450	0.1744315110	0.2929142020	0.5876919400	0.1199507710	0.0473819250	0.5347263700	-0.063481331	-0.145129355	-0.344035067	0.2541032450	-0.429266210	-0.303032330	-0.338403824	0.5403795900
YDR307W 		-0.360732938	0.2245180390	-0.291926101	0.5609835540	0.4251449800		0.1886300910	0.1130522250	0.4013136230	0.5720581130	0.4724360580	-0.798764551		0.0592960320	0.1563071950	0.0625553740	-0.158758621	-0.123116605			-0.150595908
YDR308C 	0.0575049330	0.6604813480	0.2274631520	-0.567987582	0.2673144040	0.1443177910	0.0718374390	0.1519927750	-0.046750393	0.0066559370	0.1360235590	0.1705433130	-0.769141066	-0.006284270	0.0484733850	0.0000874553	0.2952528460	0.4941760640	-0.082887331	0.2832176700	0.3037390330	
YDR309C 	-0.177654358	0.0882670620		-0.663500006			-0.154665683						-0.731143921	-0.404468102					-0.722265309	0.0177176700	-0.106260967	-1.883831794
YDR310C 	-0.072337620	-0.144107938		-0.289252197			-0.216701569						-0.751568415	-0.012055051				-0.201833345	-0.079083529	-0.154032330	0.0098818900	0.3516220500
YDR311W 	-0.072337620	-0.144107938		-0.289252197			-0.216701569						-0.751568415	-0.012055051				-0.201833345	-0.079083529	-0.154032330	0.0098818900	0.3516220500
YDR312W 	-0.278643011	0.3649545620		-0.348542908			-0.698561713						-0.433735872	-0.264526683				-0.178654953	-0.047152725	-0.391032330	-0.233689538	1.0432334440
YDR313C 	-0.017515209	0.5640170620	-1.467632915	-0.721354307	-1.262748859	-1.310403710	-0.447532776	-0.720337852	-1.112083181	-1.555722491	-1.490704097	-1.029414754	-0.988940520	-0.535753350	-1.087238600	-0.983439936	-1.362507471	-0.302904079	-0.108191674	-0.089282330	-0.131260967	0.3585081870
YDR314C 	0.4253921690	-0.091018652		0.5777975370			0.3632618370						-0.452495783	0.2086772910					-0.030545046	-0.060782330	0.0051676050	0.8199501090
YDR315C 	0.5364796870	-0.031947224		0.2891854720			0.2723720490						-1.085662001	0.2591716170					0.0820652180	-0.030032330	0.0307390330	0.4995689870
YDR316W 	0.5364796870	-0.031947224		0.2891854720			0.2723720490						-1.085662001	0.2591716170					0.0820652180	-0.030032330	0.0307390330	0.4995689870
YDR316W-A 		0.4162670620	-0.044377959	0.0932707530	0.3493401470	0.0136467200		0.0519276110	0.0033549770	-0.063311091	0.5931383580	0.4716758780	0.0824543470		-0.485247372	0.0902077110	0.1356984490	0.0860422250	0.1940953720			-0.403070817
YDR317W 		-0.120161509		-1.015456704									-0.993673819					-0.422850012	-0.002578667	0.0069676700	-0.004832395	-0.599134674
YDR318W 	0.7932794040	0.5614545620		-0.014501670			0.3863449580						-0.006730323	0.2591716170				0.3850387200	0.2447529240	-0.022532330	0.0315961760	0.0951550050
YDR319C 	-0.141586982	0.4095170620		0.0151487640			0.3026686450						0.0373838510	0.2389738870					-0.184270434	-0.020782330	0.0621676050	-0.569253371
YDR320C 	0.3864394030	-0.210045438		1.2352959480			0.7181648170						-0.181809117	0.7612294910				0.2982194870	0.2379018100	-0.042032330	-0.003403824	0.7008036439
YDR321W 	0.3864394030	-0.210045438		1.2352959480			0.7181648170						-0.181809117	0.7612294910				0.2982194870	0.2379018100	-0.042032330	-0.003403824	0.7008036439
YDR322W 	-0.327694643	0.4364337290		-0.000872510			-0.362413769						-0.541300203	-0.457847818				0.5655248050	-0.074433673	-0.288532330	-0.234689538	0.4110501360
YDR323C 	-0.365204714	0.5962670620		-0.290945252			-0.209488094						-0.629187028	0.1711672200				-0.059686482	-0.131968901	0.2664676700	0.2218818900	0.3364733560
YDR324C 	0.1469520260	-0.172357938		0.6669743000			0.0963632540						-0.303008635	0.0196842400				0.1926247420	-0.084627452	-0.147282330	0.1131676050	
YDR325W 	0.1469520260	-0.172357938		0.6669743000			0.0963632540						-0.303008635	0.0196842400				0.1926247420	-0.084627452	-0.147282330	0.1131676050	
YDR326C 	0.2306283380	0.2157670620		-0.161335332			-0.408580010						-0.205182978	-0.242886257				0.0970720250	-0.115826801	0.0367176700	-0.030118110	1.5955621769
YDR327W 	0.2306283380	0.2157670620		-0.161335332			-0.408580010						-0.205182978	-0.242886257				0.0970720250	-0.115826801	0.0367176700	-0.030118110	1.5955621769
YDR328C 	-0.688368403	0.2381242050	-0.433093913		-0.436427325	-0.488117765	-0.257097031	-0.124527739	-0.418455113	-0.542034883	-0.494886703	-0.686064655	0.4166233050	0.1581829640	-0.431859084	-0.731803597	-0.339727070	0.0694192000	-0.096675513	0.1349676700	0.2760247480	1.2997498210
YDR329C 	0.3922101830	0.0822670620		0.3424550510			-0.317690222						0.4963075460	-0.059663987					-0.150565823			1.2937559519
YDR330W 	0.3922101830	0.0822670620		0.3424550510			-0.317690222						0.4963075460	-0.059663987					-0.150565823			1.2937559519
YDR331W 	-0.402714785	0.4831242050		0.2383775800			0.1252171550						0.0462464860	0.4496073630				-0.130588525	-0.153743889	0.0464676700	0.1797390330	0.8448478050
YDR332W 	0.0156667770	0.4339545620	0.1920810890		0.2383832990	0.1476376140	-0.079645541	0.0754175430	-0.155812500	0.0434476190	0.0827687010	0.2198832830	0.0813712070	-0.085632498	0.1210190510	0.0542969180	0.4445055620		-0.177239993	0.1869676700	-0.019546681	
YDR333C 	-0.104076911	-0.071107938		-0.152283679			0.2117788580						0.0127575610	0.1495267940				-0.304377111	-0.386583862	0.4294676700	-0.049832395	-0.275381123
YDR334W 	-0.104076911	-0.071107938		-0.152283679			0.2117788580						0.0127575610	0.1495267940				-0.304377111	-0.386583862	0.4294676700	-0.049832395	-0.275381123
YDR335W 	-0.236804855	0.3161670620					-0.391267669						0.0543653670	0.3154367240					-0.009494363			
YDR336W 	-0.075223011	0.5342045620	0.7704180440	0.4565249370	0.8030704310	0.6234628980	0.2391900630	0.6124521180	0.0605349310	0.0250021700	0.4657277150	0.5756135620	0.3844665770	0.1668391350	0.3327212930	-0.063227049	0.3630026290	0.4898833660	-0.156420252	-0.064282330	0.0650247480	-0.072151358
YDR337W 	-0.053582585	0.0954099190	0.2777231020	0.8969458410	0.2863812580	0.4649844480	0.4714639650	0.6678914140	0.5165500220	0.3480422520	0.3336656230	0.4218111620	0.3281169710	0.4366231070	0.3772312670	0.5027732400	0.0365523970		0.0002216440	-0.015782330	-0.010260967	1.0384122670
YDR338C 	0.2277429480	0.0146003950		0.1757758940			0.2435181490						0.2165427310	0.5679083560				0.2287642020	-0.056102412	0.0254676700	0.0845961760	0.8360227740
YDR339C 	-0.558525849	-0.301420438	1.0681212179	-0.082486967	0.1686689410	0.2644171980	0.0213431120	0.5003327359	0.3966455540	0.6292280870	0.6931868270	0.5630867810	-0.040307397	0.2029065110	0.5668090059	0.4544866660	0.2057885830		-0.692348117	-0.245782330	-0.459832395	-0.569131023
YDR340W 	-0.558525849	-0.301420438	1.0681212179	-0.082486967	0.1686689410	0.2644171980	0.0213431120	0.5003327359	0.3966455540	0.6292280870	0.6931868270	0.5630867810	-0.040307397	0.2029065110	0.5668090059	0.4544866660	0.2057885830		-0.692348117	-0.245782330	-0.459832395	-0.569131023
YDR341C 	0.0603903230	0.3801420620	-0.294959515	0.3032390480	-0.032664630	-0.539473949	0.1194463750	-0.034027492	-0.520288075	-0.175477297	-0.287404143	-0.387639881	0.0374337860	0.1004751630	-0.296521048	-0.250541379	-0.147461874	0.3234203480	-0.145230822	-0.014032330	0.0204533190	0.1227259820
YDR342C 	-0.500818048	-0.343947224		-1.073143366			-0.639411215						-0.026672877	-0.629528528				-0.302452385	-1.761485838	-0.338282330	-0.402975252	
YDR343C 	-0.790799751	0.0120795620		-1.423823674			-0.888997458						-0.386817245	-0.779568812				0.1233720750	-0.233424872	-0.020282330	-0.194546681	-0.102172523
YDR344C 	-0.226705990	0.0637670620					-0.296049797						-0.107013093	-0.017825831				0.1602427980	-0.094016681	-0.052032330	-0.098689538	0.6795985280
YDR345C 	-0.143029677	-0.026357938					0.3344079360							-0.297708669				-0.832044711	-0.604979206	-0.427282330	-0.291118110	-1.765675225
YDR346C 	0.2306283380	-0.354661509		0.3145832950			0.0040307720						0.3334666410	0.2418592770				-0.066654610	-0.018038855	-0.018782330	0.0653104620	0.6588809560
YDR347W 	0.2306283380	-0.354661509		0.3145832950			0.0040307720						0.3334666410	0.2418592770				-0.066654610	-0.018038855	-0.018782330	0.0653104620	0.6588809560
YDR348C 	0.2162013880	0.2093920620	0.3049321320	-0.347703527	-0.039276117	0.1388640170	-0.326346393	0.1144705720	-0.303501936	0.1051693710	-0.139485339	0.1398725580	0.3306768980	-0.052450512	0.1194989300	0.0349396730	-0.031058759	0.0659170470	-0.124341784	-0.015282330	-0.092118110	-0.228462869
YDR349C 	0.1238689050	-0.378375795		0.2309707520			0.4469381490							0.7049643850				0.1798044040	0.0910175720	0.0052176700	0.1300247480	0.6801937050
YDR350C 	0.2450552890	-0.005295438		-0.111877370			-0.327789088						-0.195726750	-0.027924696				0.1847438270	0.0224529950	0.1359676700	0.0113104620	0.8081953760
YDR351W 	0.2450552890	-0.005295438		-0.111877370			-0.327789088						-0.195726750	-0.027924696				0.1847438270	0.0224529950	0.1359676700	0.0113104620	0.8081953760
YDR352W 	-0.156013933	0.2446420620		-0.075852479			0.3416214110						0.0849068790	0.6818812640					-0.142435846	0.0694676700	-0.031832395	-0.313326958
YDR353W 	0.2450552890	0.2503295620					0.2824709150						0.1488941190	-0.007726965				0.4199111510	-0.140813081	0.0569676700	-0.012260967	
YDR354W 	0.2825653600	0.2987045620	-0.172734218	0.0746925210	-0.234484572	-0.221300782	0.3906730430	0.2084936400	0.0389198920	0.1876163390	-0.250126387	-0.107206437	-0.326389385	0.7107351650	-0.204119889	0.0381465820	0.0331685920	0.1959307870	-0.145660475	0.0539676700	0.0246437950	-0.651404318
YDR355C 	-0.751846985	0.8916242049		-0.992949130			-0.702889798						-0.096980609	-0.854588954				0.5580281930	-0.078107559	0.0122176700	0.0670247480	-1.246719304
YDR356W 	0.0560622380	0.5407670620		-0.290453039			-0.346544123						-0.240448029	-0.335218740					-0.374244384	0.2669676700	-0.080546681	0.3869591040
YDR357C 	-0.189195919	0.2641420620		0.1011268900			0.0155723320							-0.180850370					-0.413161480	-0.466032330	-0.332832395	
YDR358W 	-0.189195919	0.2641420620		0.1011268900			0.0155723320							-0.180850370					-0.413161480	-0.466032330	-0.332832395	
YDR359C 	0.2753518840	0.2150170620					-0.117155612						-0.436534532	0.0398819710					-0.292635825	-0.120282330	-0.190832395	-0.319504737
YDR360W 	-1.282758760	0.7882670620		-0.846650919			-1.024610792						-0.012745309	-1.401370374				0.6447862500	-0.126841970	0.1099676700	-0.060118110	-2.055551876
YDR361C 	0.3417158560	0.4107670620					-0.335002563						-0.326245955	0.0384392760				0.1043251800	-0.230167672	-0.308782330	-0.123260967	0.0813234960
YDR362C 	0.1209835150	-0.050545438	0.3991321180	0.7242680900	0.0447622030	0.5191560530	0.0877070840	0.1856713400	0.4859838350	0.0947785030	0.4935687750	0.0068210000	0.1343190480	0.3630456600	0.2486363510	0.4068435300	0.3257310250	0.1867646280	-0.049884232	-0.130032330	0.0144533190	1.0284255560
YDR363W 	0.1209835150	-0.050545438	0.3991321180	0.7242680900	0.0447622030	0.5191560530	0.0877070840	0.1856713400	0.4859838350	0.0947785030	0.4935687750	0.0068210000	0.1343190480	0.3630456600	0.2486363510	0.4068435300	0.3257310250	0.1867646280	-0.049884232	-0.130032330	0.0144533190	1.0284255560
YDR363W-A 		-0.127982938		-0.286508868									-0.097454288					-0.715472901	-0.746486605			
YDR364C 	-0.382517054	0.5264545620	0.0540243440	-0.387156045	0.0909182660	0.2000258920	-0.298935187	-0.065798139	-0.115935092	0.0652968390	0.0935388250	-0.122749916	-0.800211900	-0.124585264	0.3610358030	0.2794056120	0.2816375230	0.1136474190	-0.261412433	-0.050532330	-0.030118110	0.2452656630
YDR365C 	0.3128619550	0.4499337290	0.0755758880		0.2800120400	-0.348877327	-0.010396179	0.0971905720	-0.031874778	-0.270496568	-0.013647655	-0.162230563	-0.233410217	0.4351804120	-0.036560066	0.1076473390	-0.112409671	0.0049133930	-0.193694831	-0.083282330	-0.085403824	
YDR365W-A 	0.3128619550	0.4499337290	0.0755758880		0.2800120400	-0.348877327	-0.010396179	0.0971905720	-0.031874778	-0.270496568	-0.013647655	-0.162230563	-0.233410217	0.4351804120	-0.036560066	0.1076473390	-0.112409671	0.0049133930	-0.193694831	-0.083282330	-0.085403824	
YDR366C 	0.6374683400	0.3592045620		-0.471456458			0.1872530420						-0.781091723	0.2404165820					-0.137308584	0.0974676700	0.0373104620	0.6022618780
YDR367W 	0.3128619550	0.4499337290	0.0755758880		0.2800120400	-0.348877327	-0.010396179	0.0971905720	-0.031874778	-0.270496568	-0.013647655	-0.162230563	-0.233410217	0.4351804120	-0.036560066	0.1076473390	-0.112409671	0.0049133930	-0.193694831	-0.083282330	-0.085403824	
YDR368W 	0.6374683400	0.3592045620		-0.471456458			0.1872530420						-0.781091723	0.2404165820					-0.137308584	0.0974676700	0.0373104620	0.6022618780
YDR369C 	0.4701157150	0.5344545620	0.0959261660	-0.248547093	-0.201786751	-0.090631233	-0.062333200	0.0044050200	0.0443956880	-0.434077774	-0.219867231	-0.111595713	-0.605279498	-0.166423420	-0.156930239	-0.242956137	0.3655050120		-0.094677615	-0.105782330	0.1301676050	-1.225284821
YDR370C 	0.1527228060	-0.239899605					0.3315225460							0.4005557310				0.0665037220	-0.155637233	0.0169676700	0.1267390330	0.9166602910
YDR371W 	0.1527228060	-0.239899605					0.3315225460							0.4005557310				0.0665037220	-0.155637233	0.0169676700	0.1267390330	0.9166602910
YDR372C 	0.1195408200	0.3004337290		0.0497555730			0.2002372970						-0.307347349	0.6386004130				0.0906191070	-0.052672013	0.2337176700	0.0967390330	0.7449289500
YDR373W 	0.1195408200	0.3004337290		0.0497555730			0.2002372970						-0.307347349	0.6386004130				0.0906191070	-0.052672013	0.2337176700	0.0967390330	0.7449289500
YDR374C 	-0.157456628	0.2438670620		-0.574954510			-0.425892350							0.2014638160				-0.170084970	0.0092028960	0.2214676700	0.2133104620	1.1662042749
YDR375C 	0.5451358570	0.0102670620	0.8519493940	0.5482570720	0.4854199390	0.4875444160	0.4628077950	0.2574631810	0.5755102650	0.5274876760	0.3142087580	0.2786395280	-0.111346011	0.4048838160	0.5487527720	0.5767353180	0.7242327680	0.0707815000	0.0410203190	0.2187176700	0.0423104620	
YDR376W 	0.5451358570	0.0102670620	0.8519493940	0.5482570720	0.4854199390	0.4875444160	0.4628077950	0.2574631810	0.5755102650	0.5274876760	0.3142087580	0.2786395280	-0.111346011	0.4048838160	0.5487527720	0.5767353180	0.7242327680	0.0707815000	0.0410203190	0.2187176700	0.0423104620	
YDR377W 	-0.040598330	0.3199545620		-0.193400554			0.3300798510						-0.204262957	0.3731445250				-0.080345468	-0.097427530	0.1099676700	0.0830247480	-0.319962236
YDR378C 	0.1498374160	-0.135232938	0.5010072460	0.3468298230	0.4027438830	0.3369257020	0.1800395670	0.0820373900	0.4860858670	0.5337029220	0.0584001680	-0.182455919	-0.154087236	0.7266048100	0.4086261200	0.3410329330	0.1616954290	0.3013212520	-0.080855373	-0.015782330	0.0555961760	0.3939246880
YDR379W 	0.1498374160	-0.135232938	0.5010072460	0.3468298230	0.4027438830	0.3369257020	0.1800395670	0.0820373900	0.4860858670	0.5337029220	0.0584001680	-0.182455919	-0.154087236	0.7266048100	0.4086261200	0.3410329330	0.1616954290	0.3013212520	-0.080855373	-0.015782330	0.0555961760	0.3939246880
YDR380W 	0.3474866360	0.0295170620		-0.342500043			-0.000297313						-0.318254175	-0.369843421				0.1066863980	-0.107497474	0.1452176700	-0.017832395	-0.367141193
YDR381W 	0.0878015290	0.6632670620		-0.867827849			-0.288836321						-0.568801916	-0.626643138				-0.728977357	-0.475448827	-0.343032330	-0.331689538	-1.238788154
YDR382W 	0.3474866360	0.0661242050		-0.854843064			0.0978059490							-0.216917746					-0.194639240	-0.415532330	-0.325489538	
YDR383C 	0.4326056440	-0.002357938	-0.006337473		0.1530166180	-0.025040575	0.2983405600	0.3197300300	-0.024614049	-0.083174193	0.0788170780	0.0140248650	-0.407071352	-0.032252781	-0.035291343	-0.094043727	-0.037115618	0.1297104810	-0.045278847	0.0564676700	0.0440247480	-0.822983899
YDR384C 	-0.614790956	-0.160232938					0.4281831140						-0.412846753	-0.222688526				-1.550390242	-0.909345930	-0.630782329	-0.633118110	-2.966168841
YDR385W 	-0.614790956	-0.160232938					0.4281831140						-0.412846753	-0.222688526				-1.550390242	-0.909345930	-0.630782329	-0.633118110	-2.966168841
YDR386W 	0.1022284790	0.4138920620	-0.120026136	-1.003617287	-0.424022618	0.2847312210	-0.076760150	-0.237355982	0.1113054400	-0.191351858	-0.048385264	0.1626863950	-0.264723843	-0.316463704	0.0098617750	-0.189626655	0.0232157860	0.3528977090	-0.405593185	-0.090032330	-0.100118110	-0.862094461
YDR387C 	0.4369337290	-0.091304367	0.7292045480	0.6010820900	0.4048233710	0.5082050299	0.5378279370	0.3506832540	0.4126975860	0.4806758880	0.4693185270	0.4665141260	-0.040622552	0.3644883550	0.5776451590	0.3371458810	0.2549299530	0.1152862810	-0.145902275	0.0529676700	0.0357390330	0.7778063430
YDR388W 	0.4369337290	-0.091304367	0.7292045480	0.6010820900	0.4048233710	0.5082050299	0.5378279370	0.3506832540	0.4126975860	0.4806758880	0.4693185270	0.4665141260	-0.040622552	0.3644883550	0.5776451590	0.3371458810	0.2549299530	0.1152862810	-0.145902275	0.0529676700	0.0357390330	0.7778063430
YDR389W 	0.1195408200	0.2465170620		-0.331296814			-0.127254477						-0.145005087	-0.377056896				-0.226482449	-0.077648031	-0.131782330	-0.055832395	-1.055942632
YDR390C 	-0.451766416	0.0088503950	-0.692114750		-0.319077438	-0.671352015	-0.293164407	0.0126627220	-0.244759497	-0.433805380	-0.344698731	-0.564155534	0.0180171870	-0.369843421	-0.508068239	-0.311404260	-0.687202995		-0.461863958	-0.285032330	-0.426118110	0.6560497400
YDR391C 	0.2984350050	-0.274045438		0.5684421280			0.5277290720						-0.298516895	0.7727710520				0.3812467000	0.1480177740	0.2839676700	0.2413104620	0.8811273820
YDR392W 	0.2984350050	-0.274045438		0.5684421280			0.5277290720						-0.298516895	0.7727710520				0.3812467000	0.1480177740	0.2839676700	0.2413104620	0.8811273820
YDR393W 	0.2089879120	0.4158503950		-0.195032882			0.0819363040						-0.883870878	0.0211269350					-0.111273666	-0.082532330	0.0424533190	
YDR394W 	0.2565968490	0.3217045620		0.2593154970			0.5104167310						0.2150386820	0.8261507680				0.2633982100	-0.145505286	-0.035032330	0.0125961760	0.5696053420
YDR395W 	0.0863588340	0.5479813480	0.4436304210		0.4002184610	-0.045475794	0.2060080780	0.4056612000	0.3202124630	0.9263461000	0.2825242540	0.4193071460	-0.195842037	-0.082747108	-0.027775115	0.0538204790	-0.115476124	0.2016158910	-0.148718514	0.1467176700	-0.001118110	
YDR396W 	-0.183425139	0.6349813479		-0.755089518			-0.143124122						-0.263124377	0.2375311920					-0.270979900	0.2674676700	0.1814533190	
YDR397C 	0.3244035160	-0.472670438		1.0969656839			0.5695672280						0.4548062790	0.5606948810					-0.114810014	-0.256532330	0.0384533190	0.1827413970
YDR398W 	0.3244035160	-0.472670438		1.0969656839			0.5695672280						0.4548062790	0.5606948810					-0.114810014	-0.256532330	0.0384533190	0.1827413970
YDR399W 	-0.642202162	-0.006857938		0.3340190560			0.0877070840						-0.184987300	0.1798233900				-0.668324925	-0.275449685	-0.272032330	-0.078403824	-1.359737785
YDR400W 	0.4008663530	0.0786242050	0.1213913170	-0.237848453	0.4120088390	0.1148760570	0.3473921920	0.3795937620	0.0120789160	0.5453438450	-0.142637202	0.1793893480	-0.026302790	0.2865828230	0.1530874940	0.3194869330	-0.000350486	0.2337673590	-0.238449673	0.0869676700	0.0261676050	
YDR401W 	-0.420027125	0.3422045620		-0.178566479			0.0040307720						0.1249196640	0.0658504820					-0.047081834	0.1902176700	0.2624533190	
YDR402C 	-1.010089397	0.1251242050		-1.555321659			-0.751941430							-0.902197891				0.2070579530	0.1074742340	0.2074676700	0.2704533190	-0.020887881
